voltage mean,voltage std,voltage kurtosis,voltage skewness,CC Q,CC charge time,voltage slope,voltage entropy,current mean,current std,current kurtosis,current skewness,CV Q,CV charge time,current slope,current entropy,capacity
2.867280,0.032270,2.758863,-1.899686,0.012489,9.000000,0.015635,2.302644,4.995780,0.001268,-1.302628,0.353660,0.000001,0.000001,-0.000085,2.164017,0.012500
2.891620,0.034049,3.398196,-1.687292,0.026366,19.000000,0.009508,2.995754,4.995750,0.001523,0.037604,-0.077161,0.000001,0.000001,0.000145,2.718499,0.026400
2.909750,0.038080,2.365680,-1.310702,0.040247,29.000000,0.007232,3.216370,4.996193,0.001703,-0.232229,-0.528078,0.000001,0.000001,0.000060,3.031533,0.040300
2.925035,0.042420,1.506036,-1.063980,0.054124,39.000000,0.006003,3.342314,4.996120,0.002064,2.281463,-1.129040,0.000001,0.000001,0.000046,2.986570,0.054100
2.938534,0.046640,0.931005,-0.913156,0.068007,49.000000,0.005207,3.430223,4.996412,0.002045,2.369339,-1.054313,0.000001,0.000001,0.000077,3.033341,0.068000
2.950730,0.050607,0.553982,-0.821084,0.081887,59.000000,0.004643,3.473122,4.996503,0.002063,2.109873,-0.762283,0.000001,0.000001,0.000096,3.019191,0.081900
2.961929,0.054321,0.299496,-0.762275,0.095765,69.000000,0.004220,3.495551,4.996410,0.001966,2.214224,-0.647489,0.000001,0.000001,-0.000004,2.990838,0.095800
2.972314,0.057787,0.123278,-0.724410,0.109647,79.000000,0.003881,3.519504,4.996568,0.002028,1.902267,-0.394598,0.000001,0.000001,-0.000014,3.048897,0.109700
2.982028,0.061033,-0.002437,-0.699374,0.123524,89.000000,0.003608,3.535887,4.996473,0.001946,2.106859,-0.285684,0.000001,0.000001,0.000013,3.057247,0.123500
2.991162,0.064069,-0.093602,-0.683468,0.137404,99.000000,0.003377,3.551496,4.996532,0.002034,1.731982,-0.144652,0.000001,0.000001,0.000060,3.095764,0.137400
2.999798,0.066923,-0.160885,-0.673364,0.151284,109.000000,0.003184,3.551258,4.996541,0.002045,1.480491,-0.061801,0.000001,0.000001,0.000053,3.142487,0.151300
3.008003,0.069619,-0.211322,-0.666944,0.165163,119.000000,0.003016,3.568092,4.996514,0.002089,1.832061,0.272821,0.000001,0.000001,0.000020,3.074536,0.165200
3.015817,0.072163,-0.249252,-0.663702,0.179041,129.000000,0.002870,3.566671,4.996500,0.002056,1.842258,0.264532,0.000001,0.000001,0.000013,3.109655,0.179000
3.023289,0.074578,-0.277974,-0.662312,0.192921,139.000000,0.002739,3.576174,4.996507,0.002060,1.792448,0.279247,0.000001,0.000001,0.000003,3.104487,0.192900
3.030446,0.076869,-0.299561,-0.662641,0.206799,149.000000,0.002624,3.575596,4.996467,0.002033,1.788766,0.307880,0.000001,0.000001,-0.000018,3.099642,0.206800
3.037322,0.079052,-0.315697,-0.663999,0.220679,159.000000,0.002520,3.576956,4.996499,0.002019,1.673445,0.277956,0.000001,0.000001,0.000000,3.104995,0.220700
3.043943,0.081139,-0.327640,-0.666010,0.234559,169.000000,0.002426,3.585937,4.996516,0.002003,1.597734,0.259660,0.000001,0.000001,0.000004,3.119139,0.234600
3.050320,0.083123,-0.336002,-0.669119,0.248438,179.000000,0.002340,3.588370,4.996523,0.002000,1.492291,0.253562,0.000001,0.000001,0.000030,3.136433,0.248400
3.056476,0.085019,-0.341522,-0.672795,0.262317,189.000000,0.002260,3.585658,4.996523,0.002050,1.296822,0.302320,0.000001,0.000001,0.000000,3.181511,0.262300
3.062433,0.086841,-0.344840,-0.676630,0.276195,199.000000,0.002188,3.583404,4.996486,0.002095,1.334500,0.139993,0.000001,0.000001,-0.000001,3.200708,0.276200
3.068201,0.088589,-0.346331,-0.680754,0.290073,209.000000,0.002121,3.584811,4.996473,0.002096,1.279396,0.174142,0.000001,0.000001,0.000014,3.208597,0.290100
3.073793,0.090266,-0.346271,-0.685182,0.303953,219.000000,0.002059,3.589112,4.996492,0.002088,1.194359,0.147356,0.000001,0.000001,0.000026,3.223198,0.304000
3.079219,0.091878,-0.344916,-0.689825,0.317833,229.000000,0.002000,3.589316,4.996519,0.002168,0.929123,0.155615,0.000001,0.000001,0.000049,3.270433,0.317800
3.084490,0.093430,-0.342471,-0.694603,0.331713,239.000000,0.001946,3.584053,4.996507,0.002219,0.926689,0.085234,0.000001,0.000001,-0.000026,3.302900,0.331700
3.089613,0.094921,-0.339033,-0.699637,0.345588,249.000000,0.001895,3.585171,4.996452,0.002261,0.898740,0.024312,0.000001,0.000001,-0.000010,3.332074,0.345600
